u,g,r,i,z,class
17.40906,15.72825,14.997760000000001,14.50716,14.249260000000001,GALAXY
19.2125,17.270979999999998,16.408360000000002,16.01936,15.71372,GALAXY
19.52344,17.470579999999998,16.43787,15.957670000000002,15.572170000000002,GALAXY
18.59838,17.48153,17.03096,16.78446,16.72504,GALAXY
19.26311,17.92684,17.28935,16.93129,16.72384,GALAXY
19.0511,17.37313,16.33854,15.89846,15.496579999999998,GALAXY
19.33959,18.32967,17.77746,17.467,17.3337,GALAXY
19.281660000000002,19.1106,18.71885,18.57507,18.59251,QSO
19.11896,17.14885,16.20844,15.6822,15.233139999999999,GALAXY
19.43546,19.164379999999998,19.26304,19.11104,18.8258,QSO
19.44517,18.22506,17.65439,17.33776,17.12989,GALAXY
19.53494,18.26746,17.56394,17.178279999999997,16.94492,GALAXY
19.34248,17.7188,16.89313,16.46238,16.13273,GALAXY
19.5503,18.97016,18.78539,18.6985,18.5006,QSO
19.57345,18.53578,17.4237,16.9006,16.569110000000002,GALAXY
19.30116,17.56784,16.691779999999998,16.24628,15.91595,GALAXY
18.83645,17.16366,16.29464,15.86524,15.49342,GALAXY
19.19069,18.87922,18.92276,18.90294,18.89106,QSO
19.59848,18.30462,17.61166,17.20495,16.94214,GALAXY
19.280160000000002,17.334329999999998,16.29056,15.825289999999999,15.472389999999999,GALAXY
18.2592,16.75255,15.96946,15.605970000000001,15.29685,GALAXY
19.540020000000002,18.39485,17.85869,17.5118,17.331970000000002,GALAXY
17.95032,16.55394,15.783420000000001,15.33585,14.99424,GALAXY
19.58717,18.26026,17.82856,17.55031,17.48721,GALAXY
19.56847,19.3478,18.99764,19.11226,18.98934,QSO
18.34101,16.344170000000002,15.42712,14.984829999999999,14.608929999999999,GALAXY
18.61594,17.37527,16.94739,16.65458,16.49111,GALAXY
19.027060000000002,18.05055,17.73488,17.528389999999998,17.49028,GALAXY
18.149739999999998,16.58315,15.762870000000001,15.350520000000001,15.028020000000001,GALAXY
19.10845,17.400570000000002,16.48809,16.00781,15.63272,GALAXY
18.247729999999997,16.25771,15.352179999999999,14.917060000000001,14.580770000000001,GALAXY
18.89173,17.182000000000002,16.14764,15.7056,15.357560000000001,GALAXY
18.53564,18.40876,18.171570000000003,18.05177,17.950210000000002,QSO
18.77122,17.68903,17.13877,16.746170000000003,16.53282,GALAXY
17.57566,16.07797,15.278670000000002,14.862589999999999,14.54522,GALAXY
17.35083,16.06648,15.49611,15.18852,14.95212,GALAXY
17.4136,16.28186,16.0428,15.7877,15.05357,GALAXY
18.18092,16.7636,16.05336,15.64316,15.34096,GALAXY
18.9989,16.9864,15.988,15.528329999999999,15.15826,GALAXY
17.94557,16.08175,15.2432,14.82037,14.49774,GALAXY
18.9582,18.6206,18.50255,18.41064,18.39254,QSO
19.3461,18.17632,17.78152,17.51886,17.34142,GALAXY
19.086489999999998,17.51379,16.71357,16.26675,15.89825,GALAXY
19.02334,17.08746,16.18645,15.76864,15.43948,GALAXY
19.060270000000003,17.27646,16.41524,15.93931,15.589570000000002,GALAXY
19.122120000000002,16.98234,15.843779999999999,15.33806,14.94343,GALAXY
18.4119,18.244629999999997,18.08148,17.82755,17.61683,QSO
19.20686,18.82603,18.66415,18.321679999999997,18.24839,QSO
18.869770000000003,17.48806,16.85012,16.5153,16.2905,GALAXY
19.13723,18.84263,18.91356,18.69249,18.83227,QSO
18.77401,16.71831,15.68455,15.185889999999999,14.78844,GALAXY
18.77966,18.70174,18.42451,18.27991,18.24853,QSO
18.5981,17.157729999999997,16.50023,16.18359,15.979529999999999,GALAXY
18.62345,17.33758,16.628610000000002,16.18117,15.879079999999998,GALAXY
19.28892,18.1412,17.65719,17.36717,17.31898,GALAXY
19.23487,18.46651,18.152179999999998,17.803639999999998,17.73641,GALAXY
19.17275,17.496389999999998,16.633020000000002,16.18948,15.88091,GALAXY
19.08004,17.51078,16.73262,16.25602,15.947529999999999,GALAXY
18.169629999999998,17.2386,17.05981,16.90306,16.80635,GALAXY
19.57566,18.07439,17.19184,16.74618,16.39102,GALAXY
19.21459,18.74951,18.52802,18.26974,17.95455,QSO
18.47393,17.3222,16.623070000000002,16.23698,15.916839999999999,GALAXY
19.06748,17.11522,16.17163,15.72069,15.35317,GALAXY
19.05816,17.164270000000002,16.18449,15.75395,15.41715,GALAXY
18.71762,17.53004,17.01979,16.705029999999997,16.5011,GALAXY
18.051460000000002,17.84678,17.7245,17.77599,17.61703,QSO
19.548170000000002,17.98753,17.28901,16.862560000000002,16.56508,GALAXY
17.557170000000003,15.8054,14.92544,14.526620000000001,14.191070000000002,GALAXY
19.041710000000002,17.57631,16.74022,16.23121,15.941820000000002,GALAXY
19.22192,18.64595,18.15525,17.98615,17.77638,QSO
18.4881,16.59791,15.675529999999998,15.23175,14.8392,GALAXY
18.95562,17.51577,16.76248,16.37643,16.092370000000003,GALAXY
18.49965,18.34754,18.10246,18.11294,18.191,QSO
19.119429999999998,17.25277,16.20983,15.709679999999999,15.390820000000001,GALAXY
19.52851,18.86724,18.53153,18.39846,18.16406,QSO
17.382620000000003,16.13117,15.46531,15.07991,14.79357,GALAXY
18.12765,16.74071,16.0601,15.64647,15.33968,GALAXY
18.70717,18.67784,18.64767,18.3745,18.31981,QSO
18.52737,17.09473,16.3672,15.971639999999999,15.680579999999999,GALAXY
19.570429999999998,19.30808,18.993579999999998,18.73386,18.5272,QSO
